banda​·grupo​·fita​·conjunto​,larguradebanda​,
morcego​·taco​·bastão​,lote​·grupo​·remessa​·fornada​,banho​·banheira​,
touro​·macho​·bobagem​·disparate​,especularnabolsadevalores​·mugir​,bala​·projétil​·travessão​,intimidar​·ameaçar​·amedrontar​·intimidaralguém​,agressor​·brigão​,
plano​·liso​·fixa​·chato​·completamente​·exatamente​,flat​·apartamento​·bemol​·andar​,maisplana​,lisonjear​·adular​·bajular​,
