			
sonolento,sonolentamente	/<span class="ipa dipa">ˈsli·pi</span>/	[sound:cambridge-sleepy.mp3]	feeling tired and wanting to go to sleep
			
			
espiar,dar uma espiada		[sound:cambridge-peak.mp3]	to look, especially for a short time or while trying to avoid being seen
ultrajante,escandaloso,ultrajantemente,afrontosamente	/<span class="ipa dipa">ɑʊtˈreɪ·dʒəs</span>/	[sound:cambridge-eus75370.mp3]	shocking or very unusual
			
medalha	/<span class="ipa dipa">ˈmed·<span class="sp dsp">ə</span>l</span>/	[sound:cambridge-medal.mp3]	a piece of metal given as a prize in a competition or given to someone who has been very brave
			
			
			
rancor,motivo de rancor,dar de má vontade,invejar	/<span class="ipa dipa">ɡrʌdʒ</span>/	[sound:cambridge-grudge.mp3]	a bad or angry feeling towards someone because of something they did in the past
firmar-se	/<span class="ipa dipa">ɪˈstæb.lɪʃt</span>/	[sound:cambridge-cald4us0774.mp3]	to start growing successfully somewhere
entrada (da garagem)	/<span class="ipa dipa">ˈdrɑɪvˌweɪ</span>/	[sound:cambridge-uscld00384.mp3]	the area of ground that you drive on to get from your house to the road
deserto	/<span class="ipa dipa">dɪˈzɜr·t̬ɪd</span>/	[sound:cambridge-deserted.mp3]	A deserted place has no people in it
concreto,definitivo	/<span class="ipa dipa">ˈdef·ə·nɪt</span>/	[sound:cambridge-definite.mp3]	certain, clear, and not likely to change
capturar,captar,gravar com câmera fotográfica ou vídeo	/<span class="ipa dipa">ˈkæp·tʃər</span>/	[sound:cambridge-capture.mp3]	to catch someone and make them your prisoner
tocar,apito	/<span class="ipa dipa">bip</span>/	[sound:cambridge-beep.mp3]	If a machine beeps, it makes a short, high noise.
			
			
erva daninha,remover ervas daninhas,capinar	/<span class="ipa dipa">wid</span>/	[sound:cambridge-cdomiscuswed0216.mp3]	a wild plant that you do not want in your garden
			
			
			
no princípio,no começo	/<span class="ipa dipa">əˈrɪdʒ·ə·n<span class="sp dsp">ə</span>l·i</span>/	[sound:cambridge-eus75299.mp3]	at the beginning
apelido,apelidar	/<span class="ipa dipa">ˈnɪkˌneɪm</span>/	[sound:cambridge-nickname.mp3]	a name used informally instead of your real name
momento,instante	/<span class="ipa dipa">moʊ</span>/	[sound:cambridge-eus73047.mp3]	a short period of time; a moment
iluminação	/<span class="ipa dipa">ˈlɑɪ·t̬ɪŋ</span>/	[sound:cambridge-lighting.mp3]	the light that is used in a room or building
emprestar	/<span class="ipa dipa">lend</span>/	[sound:cambridge-lend.mp3]	to give something to someone for a period of time
			
alcoólatra		[sound:cambridge-drunken.mp3]	A drunken person is (often) under the influence of alcohol.
exigente,trabalhoso,difícil	/<span class="ipa dipa">dɪˈmæn·dɪŋ</span>/	[sound:cambridge-eus75566.mp3]	needing a lot of time, attention, or effort
			
condenação,convicção		[sound:cambridge-conviction.mp3]	the fact of officially being found to be guilty of a particular crime, or the act of officially finding someone guilty
			
			
			
			
pesar	/<span class="ipa dipa">weɪ</span>/	[sound:cambridge-way.mp3]	to have a weight of 200 g, 75 kg, 10 stone, etc.
doninha	/<span class="ipa dipa">ˈwi·zəl</span>/	[sound:cambridge-weasel.mp3]	a small animal with a long body that kills and eats other small animals
namorado,-a,cartão de dia dos namorados		[sound:cambridge-valentine.mp3]	someone you love or would like to have a romantic relationship with
			
			
supremo,sumamente,muito	/<span class="ipa dipa">səˈprim</span>/	[sound:cambridge-eus75961.mp3]	of the greatest importance
gritar,grito	/<span class="ipa dipa">ʃɑʊt</span>/	[sound:cambridge-shout.mp3]	to say something very loudly
foguete	/<span class="ipa dipa">ˈrɑ·kɪt</span>/	[sound:cambridge-rocket.mp3]	a tube-shaped vehicle for travelling in space
resolver,resolver-se	/<span class="ipa dipa">rɪˈzɑlv</span>/	[sound:cambridge-resolve.mp3]	to solve or end a problem or difficulty
relatar,narrar	/<span class="ipa dipa">rɪˈleɪt</span>/	[sound:cambridge-relate.mp3]	to tell a story or describe a series of events
			
semente	/<span class="ipa dipa">pɪp</span>/	[sound:cambridge-uspinki015.mp3]	a small seed inside fruit such as apples and oranges
			
			
			
			
			
fabricante	/<span class="ipa dipa">ˈmeɪ·kər</span>/	[sound:cambridge-maker.mp3]	the person or company that makes a product
			
intruso,-a	/<span class="ipa dipa">-dɚ</span>/	[sound:cambridge-intruder.mp3]	someone who is in a place or situation where they are not wanted
atormentado,mal-assombrado	/<span class="ipa dipa">ˈhɑːn.t̬ɪd</span>/	[sound:cambridge-haunted.mp3]	showing signs of suffering or severe anxiety
			
pele,pelo	/<span class="ipa dipa">fɜr</span>/	[sound:cambridge-fur.mp3]	the thick hair that covers the bodies of some animals like cats and rabbits
filmagem,filmagens	/<span class="ipa dipa">ˈfʊt̬-</span>/	[sound:cambridge-footage.mp3]	(a piece of) film especially one showing an event
			
			
falso	/<span class="ipa dipa">ˈboʊ-</span>/	[sound:cambridge-bogus.mp3]	false, not real, or not legal
			
			
autógrafo,autografar	/<span class="ipa dipa">ˈɔ·t̬əˌɡræf</span>/	[sound:cambridge-autograph.mp3]	a famous person’s name, written by that person
			
			
			
tolerar	/<span class="ipa dipa">ˈtɑ·ləˌreɪt</span>/	[sound:cambridge-tolerate.mp3]	to accept or allow something although you do not like it
			
espontâneo,espontaneidade,espontaneamente	/<span class="ipa dipa">spɑːn-</span>/	[sound:cambridge-spontaneous.mp3]	happening or done in a natural, often sudden way, without any planning or without being forced
do sul,meridional	/<span class="ipa dipa">ˈsʌð·ərn</span>/	[sound:cambridge-southern.mp3]	in or from the south part of an area
			
liberdade condicional,suspensão condicional da pena	/<span class="ipa dipa">proʊˈbeɪ·ʃən</span>/	[sound:cambridge-probation.mp3]	a period of time when a criminal must behave well and not commit any more crimes in order to avoid being sent to prison
apresentação,entrega	/<span class="ipa dipa">ˌprez·ənˈteɪ·ʃən</span>/	[sound:cambridge-presentation.mp3]	a talk giving information about something
			
			
idêntico	/<span class="ipa dipa">ɑɪˈden·t̬ɪ·kəl</span>/	[sound:cambridge-identical.mp3]	exactly the same
erva	/<span class="ipa dipa">ɜrb</span>, <span class="ipa dipa">hɜrb</span>/	[sound:cambridge-herb.mp3]	a plant that is used in cooking to add flavour to food
punho	/<span class="ipa dipa">fɪst</span>/	[sound:cambridge-fist.mp3]	a hand closed into a ball with the fingers and thumb curled tightly together
andar de bicicleta	/<span class="ipa dipa">ˈsɑɪ·kəl</span>/	[sound:cambridge-cycle.mp3]	to ride a bicycle
cooler,caixa térmica,bebida com vinho,suco de frutas e água gaseificada,climatizador	/<span class="ipa dipa">ˈkuː.lɚ</span>/	[sound:cambridge-cooler.mp3]	a container like a box with a lid, used for keeping food and drinks cool
faixa com dizeres ou mensagens	/<span class="ipa dipa">ˈbæn·ər</span>/	[sound:cambridge-banner.mp3]	a long piece of cloth, often stretched between poles, with a message written on it
			
			
			
risca	/<span class="ipa dipa">strik</span>/	[sound:cambridge-streak.mp3]	a thin line or mark
espetacular,espetacularmente	/<span class="ipa dipa">spekˈtæk·jə·lər</span>/	[sound:cambridge-spectacular.mp3]	very good or exciting
setor	/<span class="ipa dipa">-tɚ</span>/	[sound:cambridge-sector.mp3]	one of the areas into which the economic activity of a country is divided
			
			
			
aumentar	/<span class="ipa dipa">ɪnˈkris</span>/	[sound:cambridge-increase_01_00.mp3]	to get bigger or to make something bigger
			
heroína	/<span class="ipa dipa">ˈher·oʊ·ɪn</span>/	[sound:cambridge-heroin.mp3]	a very strong drug that some people use illegally for pleasure
			
hardware	/<span class="ipa dipa">ˈhɑrdˌweər</span>/	[sound:cambridge-hardware.mp3]	the machines or equipment that your computer system is made from, not the programs
			
			
alentador,encorajador,de forma encorajadora,o que é encorajador	/<span class="ipa dipa">ɪnˈkɜr·ɪdʒ·ɪŋ</span>, <span class="ipa dipa">ɪnˈkʌr·ɪdʒ·ɪŋ</span>/	[sound:cambridge-encouraging.mp3]	making someone feel more hope and confidence
seita,culto,cult		[sound:cambridge-cult.mp3]	a religious group, often living together, whose beliefs are considered extreme or strange by many people
consultar,procurar conselho ou informação com/em	/<span class="ipa dipa">kənˈsʌlt</span>/	[sound:cambridge-consult.mp3]	to go to a person or book to get information or advice
			
			
			
			
bagagem	/<span class="ipa dipa">ˈbæɡ·ɪdʒ</span>/	[sound:cambridge-baggage.mp3]	all the cases and bags that you take with you when you travel
associação	/<span class="ipa dipa">əˌsoʊ·ʃiˈeɪ·ʃən</span>, <span class="ipa dipa">əˌsoʊ·siˈeɪ·ʃən</span>/	[sound:cambridge-association.mp3]	an organization of people with the same interests or purpose
endinheirado,abastado,rico	/<span class="ipa dipa">ˈwel.·θi</span>/	[sound:cambridge-wealthy.mp3]	rich
			
contra	/<span class="ipa dipa">ˈvɜr·səs</span>/	[sound:cambridge-versus.mp3]	used to say that one team or person is competing against another
com problemas,conturbado,atribulado,preocupado		[sound:cambridge-troubled.mp3]	having problems or difficulties
			
			
			
			
sorver,gole	/<span class="ipa dipa">sɪp</span>/	[sound:cambridge-sip.mp3]	to drink, taking only a small amount at a time
			
trapo,farrapo	/<span class="ipa dipa">ræɡ</span>/	[sound:cambridge-rag.mp3]	a piece of old cloth that you use to clean things
			
adiar	/<span class="ipa dipa">poʊstˈpoʊn</span>/	[sound:cambridge-postpone.mp3]	to arrange for something to happen at a later time
