vírus	/<span class="ipa dipa">ˈvɑɪ·rəs</span>/	[sound:3001-4000-cambridge-virus.mp3]	a program that is secretly put onto a computer in order to destroy the information that is stored on it
encolher,reduzir	/<span class="ipa dipa">ʃrɪŋk</span>/	[sound:3001-4000-cambridge-shrink.mp3]	to become smaller, or to make something smaller
influência,influir em,influenciar	/<span class="ipa dipa">ˈɪn·flu·əns</span>/	[sound:3001-4000-cambridge-influence.mp3]	the power to change people or things
gelado,congelado	/<span class="ipa dipa">ˈfri·zɪŋ</span>/	[sound:3001-4000-cambridge-freezing.mp3]	very cold
concerto	/<span class="ipa dipa">ˈkɑn·sɜrt</span>/	[sound:3001-4000-cambridge-concert.mp3]	a performance of music, with or without singing
arrasar,carcaça,destroço	/<span class="ipa dipa">rek</span>/	[sound:3001-4000-cambridge-wreck.mp3]	to destroy something completely
			
			
cadeia,corrente,rede,série (de acontecimentos),acorrentar	/<span class="ipa dipa">tʃeɪn</span>/	[sound:3001-4000-cambridge-chain.mp3]	a line of metal rings connected together
			
caminhante,andarilho	/<span class="ipa dipa">ˈwɔ·kər</span>/	[sound:3001-4000-cambridge-walker.mp3]	someone who walks for exercise or enjoyment
			
arame,fio elétrico	/<span class="ipa dipa">wɑɪər</span>/	[sound:3001-4000-cambridge-wire.mp3]	thin metal thread, used to fasten things or to make fences, cages, etc.
tecnicamente,do ponto de vista técnico		[sound:3001-4000-cambridge-technically.mp3]	according to an exact understanding of rules, facts, etc.
presença	/<span class="ipa dipa">ˈprez·əns</span>/	[sound:3001-4000-cambridge-presence.mp3]	the fact of someone or something being in a place
particípio passado de “blow”	/<span class="ipa dipa">bloʊn</span>/	[sound:3001-4000-cambridge-blown_blow.mp3]	past participle of blow
preocupado,inquieto,ansioso,ansiosamente	/<span class="ipa dipa">ˈæŋk·ʃəs</span>/	[sound:3001-4000-cambridge-anxious.mp3]	worried and very nervous
caverna	/<span class="ipa dipa">keɪv</span>/	[sound:3001-4000-cambridge-eus70733.mp3]	a large hole in the ground or in the side of a mountain
versão	/<span class="ipa dipa">ˈvɜr·ʒən</span>/	[sound:3001-4000-cambridge-version.mp3]	one form of something that has many forms
ridicularizar alguém	/<span class="ipa dipa">ˈmɪk·i</span>/	[sound:3001-4000-cambridge-uszzzzd046.mp3]	to laugh at someone and make them seem silly
			
			
			
			
afetuoso,atencioso,humanitário	/<span class="ipa dipa">ˈkeər·ɪŋ</span>/	[sound:3001-4000-cambridge-uscarbi026.mp3]	describes someone who is kind and who helps other people
			
passado e particípio passado de “bind”,limites,eu farei,você fará,etc. algo na certa	/<span class="ipa dipa">bɑʊnd</span>/	[sound:3001-4000-cambridge-bound.mp3]	past tense and past participle of bind
aparentado,relacionado	/<span class="ipa dipa">rɪˈleɪ·t̬ɪd</span>/	[sound:3001-4000-cambridge-related.mp3]	If two or more people are related, they belong to the same family.
			
encanto,charme,talismã,amuleto,encantar	/<span class="ipa dipa">tʃɑrm</span>/	[sound:3001-4000-cambridge-charm.mp3]	a quality that makes you like someone or something
maçã,o predileto,a predileta,a menina dos olhos	/<span class="ipa dipa">ˈæp·əl</span>/	[sound:3001-4000-cambridge-apple.mp3]	a hard, round fruit with a green or red skin
			
			
pulso	/<span class="ipa dipa">pʌls</span>/	[sound:3001-4000-cambridge-pulse.mp3]	the regular movement of blood through your body when your heart is beating
			
			
estrutura de suporte,moldura,armação,quadro,emoldurar	/<span class="ipa dipa">freɪm</span>/	[sound:3001-4000-cambridge-frame.mp3]	a structure that goes around the edge of something, such as a picture or window
