holly	, ,azevinho,​,, ,astro de Hollywood,​,
duck	, ,pato,​,, ,mergulhar,​,, ,mergulho,​,, ,patos, m ​,, ,pato coxo,​,·pessoa ou coisa fracassada,​,

blowing	, ,soprado,​,, ,agente de expansão, ​,, ,sopro de ar,​,, ,sopro de vidro,​,

session	, ,sessão,​,·reunião,​,·seção,​,·aula,​,, ,sessão de improvisação,​,, ,sessão de treinamento,​,·sessão de formação,​,·sessão de treino,​,·sessão de treinos,​,, ,sessão plenária,​,·reunião plenária,​,·assembleia plenária,​,

kidnapping	, ,seqüestro,​,·sequestro,​,·rapto,​,, ,sequestros, m ​,

actual	, ,real,​,·reais,​,·atual,​,·atuais,​,
spin	, ,girar,​,·fiar,​,·centrifugar,​,·torcer,​,, ,rodada,​,·giro,​,·centrifugação,​,·rotação,​,, ,eixo,​,·fuso,​,·ferramenta,​,·mandril,​,, ,fiação,​,·tecelagem,​,, ,giratório,​,
classic	, ,clássico,​,·tradicional,​,·típico,​,·habituais,​,, ,clássico,​,·erudita,​,, ,música clássica,​,·música erudita,​,, ,clássicos, m ​,
civil	, ,civil,​,·civis,​,·públicos,​,·cível,​,
tool	, ,ferramenta,​,·instrumento,​,, ,trabalhar,​,, ,usinagem,​,, ,kit de ferramentas,​,·conjunto de ferramentas,​,·caixa de ferramentas,​,, ,caixa de ferramentas,​,·conjunto de ferramentas,​,·panóplia,​,, ,arsenal,​,

packing	, ,embalagem,​,·empacotamento,​,, ,lista de embalagem,​,·lista de embalagens,​,·lista de empacotamento,​,, ,nota de embalagem,​,·recibo de entrega,​,, ,grupo de embalagem,​,
education	, ,educação,​,·formação,​,·ensino,​,·escolaridade,​,, ,ensino superior,​,·nível superior,​,·formação superior,​,·curso superior,​,, ,educacional,​,·educativo,​,·educacionais,​,·escolar,​,, ,formação,​,·formação acadêmica,​,·formação educacional,​,·antecedentes educacionais, m ​,
blaming	
wrap	, ,embrulhar,​,·envolver,​,·enrolar,​,·empacotar,​,, ,envoltório,​,·invólucro,​,·cobertor,​,·abrigo,​,, ,embrulhar,​,, ,envolvido,​,·embrulhado,​,·embalado,​,·envoltos,​,, ,embalagem,​,·embrulho,​,·invólucro,​,·acondicionamento,​,
obsessed	, ,obcecado, ​,
fruit	, ,fruta,​,·fruto,​,·frutas, f ​,, ,frutuoso,​,·frutífero,​,·frutuosa,​,·profícuo,​,, ,maracujá,​,, ,fruição,​,·viabilização,​,
torture	, ,tortura,​,·suplício,​,, ,torturar,​,, ,torturado, ​,·atormentado, ​,·violadas,​,, ,torturador,​,, ,liberdade da tortura,​,
personality	, ,personalidade,​,·caráter,​,·carácter,​,, ,personalidade jurídica,​,·personalidade legal,​,·identidade jurídica,​,, ,traços de personalidade, m ​,·características de personalidade, f ​,, ,direitos de personalidade, m ​,
location	, ,local,​,·localização,​,·posição,​,·lugar,​,, ,local de armazenamento,​,·local de armazenagem,​,·posição de armazenamento,​,·local de depósito,​,, ,localização privilegiada,​,·privilegiada localização,​,·local privilegiado,​,·excelente localização,​,, ,localização atual,​,·posição atual,​,·local atual,​,
loan	, ,empréstimo,​,·crédito,​,·financiamento,​,, ,emprestar,​,, ,empréstimos, m ​,·créditos, m ​,, ,acordo de empréstimo,​,·contrato de empréstimo,​,·contrato de crédito,​,·convenção de empréstimo,​,, ,emprestado,​,·cedidos,​,·emprestadas,​,·alugada,​,
effort	, ,esforço,​,·empenho,​,·aposta,​,·tentativa,​,, ,fácil,​,·sem esforço, ​,·simples,​,, ,melhores esforços, m ​,·máximos esforços, m ​,, ,fazer um esforço,​,·esforçar-se,​,

commander	, ,comandante,​,·chefe, ​,, ,capitão-tenente,​,, ,comandante supremo,​,, ,comandante de companhia,​,



owner	, ,proprietário,​,·dono,​,·titular,​,·proprietária,​,, ,propriedade,​,·posse,​,, ,beneficiário efectivo,​,·proprietário beneficiário,​,·proprietário usufrutuário,​,, ,interesse de propriedade,​,·interesse de posse,​,
fairy	, ,fada,​,, ,reino das fadas,​,, ,fada dos dentes,​,, ,fada-madrinha,​,

network	, ,rede,​,, ,interligar,​,, ,reticular,​,, ,redes, f ​,, ,em rede, ​,·ligado em rede, ​,·interligados,​,·conectadas,​,
per	, ,por, prep ​,, ,desempenho,​,·performance,​,·rendimento,​,·atuação,​,



county	, ,condado,​,·município,​,·comarca,​,·concelho,​,, ,tribunal distrital,​,·tribunal da comarca,​,·tribunal de condado,​,·tribunal do condado,​,, ,cadeia do condado,​,·cadeia municipal,​,, ,sede de concelho,​,·sede do concelho,​,
contest	, ,concurso,​,·competição,​,·disputa,​,·passatempo,​,, ,contestar,​,·disputar,​,·competir,​,·arguir,​,, ,concorrente,​,·participante, ​,·competidor,​,
chuck	, ,mandril,​,·bucha,​,·arremesso,​,·carícia,​,, ,cacarejar,​,, ,rir,​,, ,risinho,​,·risadinha,​,, ,placa de fixação,​,

print	, ,impressão,​,·cópia,​,·gravura,​,·reprodução,​,, ,imprimir,​,·imprimir algo,​,, ,impresso,​,, ,impressor,​,·impressora,​,·gráfica,​,, ,impresso,​,·impressas,​,·imprimido,​,·estampada,​,
motel	, ,motel,​,, ,motéis, m ​,
fallen	, ,caído,​,·diminuído,​,·decaído,​,, ,anjo caído,​,, ,árvore caída,​,·árvore tombada,​,, ,frutos caídos, m ​,

underwear	, ,roupa interior,​,·roupa íntima,​,·roupa de baixo,​,
grams	
exhausted	, ,esgotado, ​,·exausto,​,·exauridos,​,, ,baterias gastas, f ​,, ,ser esgotado,​,·estar esgotado,​,
believing	, ,fiéis,​,




trace	, ,traçar,​,·rastrear,​,·encontrar algo/alguém,​,·seguir,​,, ,traço,​,·vestígio,​,·rastro,​,·sinal,​,, ,rastreabilidade,​,·identificação,​,·rastreamento,​,, ,rastreados,​,·traçado,​,·traçados,​,·marcado,​,, ,rastreáveis,​,·rastreável,​,·identificáveis,​,·seguidos,​,
touching	, ,tocante,​,·emocionante,​,·comovente,​,·comovedor,​,


committee	, ,comissão,​,·comité,​,·comitê,​,·conselho,​,, ,comité de direcção,​,·comitê de direção,​,·comitê diretor,​,·comitê de orientação,​,, ,comité consultivo,​,·comissão consultiva,​,·comitê consultivo,​,·conselho consultivo,​,, ,Comissão Executiva,​,·Conselho de Administração,​,·Comité Director,​,
smooth	, ,bom,​,·macio,​,·tranquilo,​,·fácil,​,, ,alisar,​,·nivelar,​,, ,alisamento,​,·suavização,​,·nivelamento,​,·regularização,​,, ,regularizador,​,, ,mais suave,​,·mais harmonioso,​,·mais liso,​,·mais macio,​,
recovery	, ,recuperação,​,·restabelecimento,​,·retomada,​,, ,recuperação de desastres,​,·recuperação após desastres,​,·recuperação de falhas,​,, ,recuperação de custos,​,·amortização dos custos,​,, ,recuperação de energia,​,·valorização energética,​,·recuperação energética,​,·aproveitamento da energia,​,
intention	, ,intenção,​,·objetivo,​,·intuito,​,, ,intencional,​,·intencionais,​,·deliberado,​,·voluntária,​,, ,carta de intenção,​,, ,intencionalidade,​,
enter	, ,entrar,​,·introduzir,​,·inserir,​,·enviar,​,, ,empresa,​,·empreendimento,​,·companhia,​,·iniciativa,​,, ,introduzido,​,·inserido,​,·inseridos,​,·entrado,​,, ,entretenimento,​,·lazer,​,·animação,​,·divertimento,​,
consequences	, ,consequências, f ​,·conseqüências, f ​,·efeitos, m ​,·repercussões, f ​,, ,consequências indesejadas, f ​,·consequências não intencionais, f ​,·consequências involuntárias, f ​,·consequências imprevistas, f ​,, ,consequências desastrosas, f ​,·terríveis consequências, f ​,·consequências terríveis, f ​,, ,consequências fiscais, f ​,
belt	, ,cinto,​,·correia,​,·esteira,​,, ,correia transportadora,​,·esteira transportadora,​,·tapete rolante,​,·esteira rolante,​,, ,cinto de segurança,​,, ,correia dentada,​,
standard	, ,padrão,​,·nível,​,·norma,​,·referência,​,, ,normalizado,​,·standard,​,·comum,​,·normal,​,, ,padronizado, ​,·standard,​,·uniformizados,​,·normatizado,​,·padronizada,​,·normalizado,​,·estandardizado,​,·harmonizado,​,, ,padronização,​,
sacrifice	, ,sacrifício,​,, ,sacrificar algo/alguém,​,, ,sacrifícios, m ​,, ,sacrificado, ​,·imolados,​,·crucificado,​,, ,sacrifício de sangue,​,
marina	, ,porto,​,·marina,​,, ,marinar,​,
courage	, ,coragem,​,·valentia,​,·arrojo,​,·ousadia,​,, ,corajoso,​,·valente,​,·audazes,​,·audaz,​,, ,coragem moral,​,, ,ganhar coragem,​,·arranjar coragem,​,
butter	, ,manteiga,​,, ,leitelho,​,·soro,​,, ,borboleta,​,·mariposa,​,, ,abóbora-menina,​,

enjoyed	, ,desfrutado,​,·desfrutadas,​,·usufruídos,​,·aproveitado,​,
ad	, ,anúncio,​,·propaganda,​,·comercial,​,·anúncio publicitário,​,, ,endereço,​,·discurso,​,·endereço postal,​,·logradouro,​,, ,endereçar,​,, ,além disso,​,, ,conselho,​,·aconselhamento,​,·conselhos, m ​,·informação,​,
lack	, ,falta,​,·ausência,​,·carência,​,·escassez,​,, ,faltar,​,·carecer de algo,​,·não dispor de algo,​,, ,desprovido,​,·ausente,​,·escassos,​,·insuficientes,​,, ,inexistência de,​,, ,apagado,​,·enfadonho,​,
buck	, ,dólar,​,·corço,​,·cervo,​,, ,sacudir,​,, ,balde,​,, ,afivelar,​,, ,trigo sarraceno,​,
attracted	, ,atraído, ​,·seduzidos,​,·chamado,​,·conquistado,​,


bay	, ,baía,​,·louro,​,·enseada,​,, ,ladrar,​,, ,folha de louro,​,, ,folhas de louro, f ​,, ,baías, f ​,·compartimentos, m ​,·enseadas, f ​,
yard	, ,estaleiro,​,·quintal,​,·pátio,​,·jardim,​,, ,critério,​,·parâmetro,​,·padrão,​,·referencial,​,, ,estaleiros, m ​,·pátios, pl ​,·jardas, f ​,, ,venda de garagem,​,
returned	, ,devolvido, ​,·enviados,​,·enviada,​,·reenviadas,​,, ,mercadorias devolvidas, f ​,·bens devolvidos, m ​,·mercadorias de retorno, f ​,, ,produtos devolvidos, m ​,, ,cheque devolvido,​,
remove	, ,remover,​,·retirar,​,·eliminar,​,·tirar,​,, ,removido, ​,·retirado,​,·retirados,​,·eliminado,​,, ,removedor,​,
nut	, ,porca,​,·noz,​,·rosca,​,, ,casca de noz,​,, ,noz-moscada,​,
carried	, ,realizado, ​,·levado,​,·feito,​,·levadas,​,, ,saldo transportado,​,, ,trabalho que desenvolveram,​,, ,montante transitado,​,

testimony	, ,testemunho,​,·depoimento,​,, ,testemunho de especialistas,​,, ,depoimento oral,​,, ,falso testemunho,​,
intense	, ,intenso,​,·forte,​,·profundo,​,·intensivo,​,, ,concorrência intensa,​,·intensa concorrência,​,·forte concorrência,​,, ,calor intenso,​,·intenso calor,​,·forte calor,​,·calor tórrido,​,, ,enfoque intenso,​,
granted	, ,outorgadas,​,·garantido,​,, ,direitos conferidos, m ​,, ,empréstimo concedido,​,·crédito concedido,​,, ,patente concedida,​,

violence	, ,violência,​,·força,​,, ,violência doméstica,​,, ,violência de género,​,·violência de gênero,​,·violência sexual,​,, ,violência de gênero,​,·violência de género,​,

heal	, ,curar,​,·cicatrizar,​,·sarar,​,, ,saúde,​,, ,cuidados de saúde, m ​,, ,saudável,​,·saudáveis,​,·são,​,·sadio,​,
defending	, ,acusada,​,, ,atual campeão,​,·campeão em título,​,·detentor do título,​,, ,advogado de defesa,​,
attempt	, ,tentativa,​,·esforço,​,·intento,​,, ,tentar,​,·provar,​,, ,tentado, ​,·tentadas,​,·empreendida,​,·experimentada,​,, ,tentativa de homicídio,​,·tentativa de assassinato,​,·tentativa de assassínio,​,, ,tentativa falhada,​,·tentativa frustrada,​,·tentativa fracassada,​,
unfair	, ,desleal,​,·injusto,​,·desleais,​,·injustificável,​,, ,concorrência desleal,​,·concorrência injusta,​,·competição desleal,​,·concorrência desigual,​,, ,injustiça,​,·carácter abusivo,​,·deslealdade,​,·iniquidade,​,, ,despedimento sem justa causa,​,·despedimento ilícito,​,·despedimento abusivo,​,·demissão ilícita,​,
relieved	, ,aliviado, ​,·dispensado,​,·isento,​,·dispensados,​,
