quarteirão,bloco,prédio,bloquear,obstruir,entupir,impedir (passagem)	/<span class="ipa dipa">blɑk</span>/	
atual,corrente	/<span class="ipa dipa">ˈkɜr·ənt</span>, <span class="ipa dipa">ˈkʌr·ənt</span>/	
